id,price_doc
30474,5358627.561127337
30475,8315010.938079211
30476,5230515.608598911
30477,5830366.91298295
30478,5046062.8777204035
30479,9199381.929027244
30480,4200197.056725264
30481,4254039.331368984
30482,4406919.79853519
30483,4907906.877622333
30484,6112114.691538403
30485,4893569.999376077
30486,3602390.7852807324
30487,4509782.584675095
30488,6541559.819073146
30489,5798462.460274194
30490,22649609.723985232
30491,17272734.81959644
30492,6102168.746930866
30493,13009714.640511168
30494,6849566.468937971
30495,10010461.643872552
30496,8164722.320207546
30497,8016115.026521984
30498,4325810.508913915
30499,7925309.428140571
30500,11682289.812127389
30501,6796702.908827626
30502,3059248.632304542
30503,5860629.897213627
30504,5907769.939571252
30505,11022027.253634995
30506,2963017.77950997
30507,4798619.344257234
30508,5258413.838088016
30509,7764541.669161408
30510,9266218.881650545
30511,6303880.438643872
30512,6154550.666660663
30513,4121573.33884512
30514,3229447.4036024185
30515,9806949.369595299
30516,5594891.173464664
30517,10775359.798352381
30518,7228680.572738702
30519,4610269.707891501
30520,7178727.660910398
30521,5729990.271282135
30522,7306958.439972267
30523,6464308.594630414
30524,9520525.059007743
30525,9539409.512867175
30526,4845195.912207377
30527,4983329.8726257915
30528,6928986.18570325
30529,6155874.304814777
30530,5930471.253037297
30531,14672346.80882521
30532,4617326.41107654
30533,10568702.12042277
30534,6727335.063927244
30535,9303248.560499044
30536,5516490.501644393
30537,11319125.64934281
30538,4827056.550231365
30539,8207358.9214627175
30540,9743473.850985894
30541,5998742.744410068
30542,2301325.411003809
30543,5693012.782262759
30544,6954803.2769752005
30545,8169369.460662887
30546,4188117.553208528
30547,10544535.846509015
30548,4534974.559814843
30549,5259226.78658254
30550,13307645.439767785
30551,5067136.318402241
30552,1993183.690184238
30553,7412980.283094445
30554,10901264.88971621
30555,5902528.848373918
30556,9241345.98779718
30557,7749014.776049873
30558,8251549.244801042
30559,6349965.948021569
30560,5778355.984743141
30561,6969714.430591605
30562,12489425.976074321
30563,4596086.453981173
30564,7101300.702699832
